date;n1;n2;n3;n4;n5;en1;en2
2012-03-23;5;46;37;21;8;8;6
2012-03-30;19;5;7;12;26;1;5
2012-04-06;36;38;34;8;7;5;4
2012-04-13;12;27;32;5;11;3;1
2012-04-20;30;16;45;41;10;2;8
2012-04-27;40;13;10;19;45;3;5
2012-05-04;29;45;41;35;30;5;3
2012-05-11;38;21;39;47;15;1;5
2012-05-18;46;43;12;44;18;5;4
2012-05-25;32;11;41;26;4;5;7
2012-06-01;34;38;28;37;11;3;7
2012-06-08;44;36;10;16;15;7;8
2012-06-15;17;6;10;42;18;3;1
2012-06-22;14;49;16;47;13;1;7
2012-06-29;8;5;19;36;33;2;3
2012-07-06;38;22;24;10;33;6;2
2012-07-13;12;8;31;27;37;6;3
2012-07-20;9;13;25;6;14;8;1
2012-07-27;9;34;35;23;22;1;3
2012-08-03;12;25;24;18;15;4;5
2012-08-10;40;46;48;6;11;3;6
2012-08-17;34;35;3;30;16;2;5
2012-08-24;49;20;9;21;33;7;5
2012-08-31;40;28;8;42;22;8;4
2012-09-07;15;23;25;46;49;2;4
2012-09-14;14;15;47;10;24;4;8
2012-09-21;41;49;29;44;18;5;1
2012-09-28;5;14;16;39;34;6;1
2012-10-05;26;28;49;40;50;7;2
2012-10-12;43;6;49;17;11;4;8
2012-10-19;18;14;6;48;19;8;3
2012-10-26;19;22;7;18;17;5;4
2012-11-02;12;5;7;31;3;5;7
2012-11-09;44;29;38;41;25;8;3
2012-11-16;4;1;21;26;7;4;7
2012-11-23;50;1;21;32;36;2;5
2012-11-30;21;2;24;13;37;6;7
2012-12-07;42;20;13;22;27;5;3
2012-12-14;31;35;17;28;39;5;8
2012-12-21;11;24;20;25;35;4;8
2012-12-28;39;32;8;5;22;8;7
2013-01-04;45;6;40;20;29;5;8
2013-01-11;37;31;6;41;49;2;3
2013-01-18;21;13;45;9;28;7;6
2013-01-25;37;4;38;13;28;8;7
2013-02-01;2;26;29;14;4;6;7
2013-02-08;43;12;14;17;27;1;7
2013-02-15;32;9;26;40;4;3;5
2013-02-22;49;3;41;13;46;8;3
2013-03-01;44;19;34;28;29;5;1
2013-03-08;30;10;14;12;43;2;5
2013-03-15;4;30;32;50;41;5;7
2013-03-22;43;21;48;12;5;5;6
2013-03-29;37;27;1;50;22;7;5
2013-04-05;38;22;31;41;37;2;6
2013-04-12;22;8;19;40;32;8;1
2013-04-19;24;17;18;25;22;6;1
2013-04-26;11;19;23;49;14;5;4
2013-05-03;48;28;16;14;44;7;3
2013-05-10;33;35;31;9;6;7;1
2013-05-17;6;32;4;10;13;1;8
2013-05-24;20;2;41;4;9;5;3
2013-05-31;9;40;12;5;23;7;2
2013-06-07;9;35;6;11;29;6;2
2013-06-14;1;47;48;25;46;8;3
2013-06-21;5;50;14;23;21;7;2
2013-06-28;49;23;33;8;6;8;3
2013-07-05;16;50;15;19;17;7;5
2013-07-12;47;33;48;7;27;2;7
2013-07-19;7;37;19;33;18;2;5
2013-07-26;13;25;4;19;43;3;4
2013-08-02;14;37;29;33;23;5;2
2013-08-09;34;49;7;32;26;6;1
2013-08-16;32;38;33;49;5;8;3
2013-08-23;10;4;25;30;47;2;3
2013-08-30;9;43;17;6;10;8;2
2013-09-06;7;32;44;3;20;5;4
2013-09-13;3;10;43;18;31;1;7
2013-09-20;15;2;6;24;18;5;7
2013-09-27;10;36;21;34;6;4;1
2013-10-04;7;48;16;21;1;1;8
2013-10-11;34;2;11;29;23;7;8
2013-10-18;24;41;7;25;22;1;3
2013-10-25;9;41;25;46;39;8;2
2013-11-01;26;13;27;7;10;8;5
2013-11-08;42;28;34;25;18;4;3
2013-11-15;3;43;19;48;32;4;8
2013-11-22;1;47;38;42;39;2;1
2013-11-29;35;17;25;32;45;7;4
2013-12-06;47;18;8;25;1;7;2
2013-12-13;28;49;24;9;19;8;2
2013-12-20;37;12;22;9;40;8;6
2013-12-27;2;15;43;40;33;3;7
2014-01-03;1;16;37;36;34;4;6
2014-01-10;18;8;33;40;22;8;2
2014-01-17;17;4;29;25;7;2;4
2014-01-24;46;36;30;28;4;3;7
2014-01-31;17;39;12;29;40;5;6
2014-02-07;18;36;20;49;16;3;4
2014-02-14;28;22;21;45;19;6;7
2014-02-21;2;21;4;41;30;7;8
2014-02-28;2;21;45;22;17;5;1
2014-03-07;15;14;20;39;7;1;8
2014-03-14;13;9;7;30;6;4;7
2014-03-21;42;8;35;38;18;4;6
2014-03-28;32;10;38;45;35;5;4
2014-04-04;33;10;30;28;16;4;6
2014-04-11;1;44;14;7;22;1;2
2014-04-18;44;40;32;49;12;2;3
2014-04-25;10;39;4;48;7;3;4
2014-05-02;34;33;31;32;9;8;6
2014-05-09;43;14;1;22;11;4;3
2014-05-16;36;43;28;42;9;8;2
2014-05-23;6;21;33;47;37;7;8
2014-05-30;25;17;26;7;35;7;4
2014-06-06;19;37;38;6;9;8;4
2014-06-13;18;1;8;39;15;6;1
2014-06-20;33;10;41;23;6;6;8
2014-06-27;35;42;33;44;11;4;6
2014-07-04;11;10;13;3;42;8;1
2014-07-11;35;16;45;10;3;4;6
2014-07-18;6;45;11;15;18;5;8
2014-07-25;43;3;47;10;36;5;2
2014-08-01;5;18;47;38;33;6;3
2014-08-08;21;40;15;34;19;3;4
2014-08-15;47;17;41;43;38;6;4
2014-08-22;42;40;19;47;20;8;2
2014-08-29;12;1;8;37;9;6;2
2014-09-05;31;40;26;39;33;5;6
2014-09-12;25;9;29;2;17;3;5
2014-09-19;38;13;20;18;39;1;8
2014-09-26;26;44;8;32;50;4;7
2014-10-03;44;34;8;15;49;8;4
2014-10-10;17;22;20;11;29;6;4
2014-10-17;24;27;35;14;39;7;8
2014-10-24;37;26;22;15;3;2;4
2014-10-31;3;27;7;43;46;3;8
2014-11-07;5;35;33;25;13;8;4
2014-11-14;49;25;41;45;22;5;2
2014-11-21;43;4;35;41;18;4;5
2014-11-28;6;35;18;16;29;9;6
2014-12-05;11;32;25;47;42;4;9
2014-12-12;15;1;8;37;19;7;9
2014-12-19;10;25;49;11;32;5;9
2014-12-26;39;2;30;43;21;5;7
2015-01-02;48;38;29;42;16;5;6
2015-01-09;41;27;19;20;13;9;5
2015-01-16;4;48;1;14;32;5;6
2015-01-23;30;2;32;14;13;3;1
2015-01-30;4;3;11;8;41;2;8
2015-02-06;22;19;37;3;39;10;5
2015-02-13;14;48;46;3;7;6;9
2015-02-20;18;29;16;44;1;7;2
2015-02-27;30;9;49;28;43;10;8
2015-03-06;16;32;9;17;20;2;3
2015-03-13;39;10;25;1;44;1;2
2015-03-20;9;13;38;11;35;7;5
2015-03-27;31;33;50;3;26;3;9
2015-04-03;34;48;37;43;5;4;2
2015-04-10;18;1;26;40;47;3;4
2015-04-17;20;13;5;33;6;8;3
2015-04-24;33;27;17;46;4;3;9
2015-05-01;25;50;30;8;24;4;6
2015-05-08;31;19;46;40;32;9;8
2015-05-15;38;12;14;46;18;9;10
2015-05-22;24;23;50;39;8;5;1
2015-05-29;16;38;28;6;1;1;6
2015-06-05;40;19;41;50;38;5;1
2015-06-12;27;23;17;30;39;6;8
2015-06-19;21;12;14;39;20;10;5
2015-06-26;27;14;28;35;47;1;8
2015-07-03;40;45;31;1;41;5;9
2015-07-10;35;47;12;36;39;3;6
2015-07-17;37;21;30;6;44;1;3
2015-07-24;6;30;12;15;20;3;6
2015-07-31;24;11;49;19;46;1;5
2015-08-07;15;49;1;22;9;4;7
2015-08-14;28;41;1;7;27;2;6
2015-08-21;13;20;39;40;42;3;9
2015-08-28;8;5;34;46;33;8;3
2015-09-04;12;23;46;41;37;3;7
2015-09-11;31;30;7;22;27;7;5
2015-09-18;3;48;41;13;7;1;7
2015-09-25;5;13;3;16;30;6;3
