date;n1;n2;n3;n4;n5;en1;en2
2015-10-02;39;7;9;28;47;8;2
2015-10-09;26;23;14;31;13;3;9
2015-10-16;38;11;19;42;46;3;9
2015-10-23;16;36;34;49;18;8;6
2015-10-30;5;15;16;37;36;5;3
2015-11-06;22;24;4;2;8;3;9
2015-11-13;23;49;27;19;26;10;3
2015-11-20;1;36;31;18;20;5;9
2015-11-27;2;26;49;13;7;3;4
2015-12-04;16;34;14;26;38;8;2
2015-12-11;36;37;49;39;34;10;8
2015-12-18;11;27;19;32;42;9;5
2015-12-25;8;36;33;34;9;9;3
2015-01-01;14;35;45;11;44;5;6
2016-01-08;47;1;2;24;5;8;3
2016-01-15;23;25;4;39;37;9;1
2016-01-22;19;3;26;36;29;4;9
2016-01-29;42;40;3;32;20;4;9
2016-02-05;37;25;35;43;10;5;8
2016-02-12;33;21;7;41;20;2;1
2016-02-19;49;12;29;10;28;4;3
2016-02-26;19;45;11;42;9;7;10
2016-03-04;13;2;10;5;28;10;3
2016-03-11;10;31;16;40;37;9;3
2016-03-18;20;10;50;35;47;7;4
2016-03-25;35;9;19;20;10;4;3
2016-04-01;40;49;6;21;12;10;8
2016-04-08;16;1;2;31;50;7;1
2016-04-15;39;46;1;17;5;6;7
2016-04-22;31;5;33;49;28;2;1
2016-04-29;24;10;40;14;20;2;10
2016-05-06;45;24;46;12;38;10;6
2016-05-13;39;7;6;36;40;10;1
2016-05-20;6;23;19;33;34;7;4
2016-05-27;4;48;33;10;26;5;9
2016-06-03;13;32;20;47;34;6;9
2016-06-10;12;26;28;37;11;10;8
2016-06-17;44;16;23;18;19;3;1
2016-06-24;24;19;48;21;41;6;1
2016-07-01;50;47;37;29;38;2;4
2016-07-08;31;21;4;42;19;5;10
2016-07-15;12;38;36;50;22;9;2
2016-07-22;14;26;20;6;46;4;2
2016-07-29;22;8;36;4;44;5;10
2016-08-05;11;12;40;5;30;5;2
2016-08-12;15;6;38;21;18;4;1
2016-08-19;46;22;33;43;42;10;6
2016-08-26;9;33;4;8;43;5;9
2016-09-02;30;28;15;50;42;8;1
2016-09-09;11;27;35;34;39;10;6
2016-09-16;28;30;15;37;43;5;2
2016-09-23;1;45;7;25;23;8;5
2016-09-30;39;4;44;29;28;10;8
2016-10-07;1;43;20;44;10;9;6
2016-10-14;42;10;25;7;39;3;6
2016-10-21;28;35;14;16;34;3;9
2016-10-28;12;4;6;13;1;1;6
2016-11-04;15;16;50;22;14;2;10
2016-11-11;42;18;47;16;1;6;8
2016-11-18;16;7;40;10;32;6;1
2016-11-25;19;45;49;34;28;1;6
2016-12-02;39;48;1;20;50;3;7
2016-12-09;29;17;44;12;50;2;10
2016-12-16;2;34;25;24;3;6;8
2016-12-23;46;13;27;42;30;4;3
2016-12-30;27;30;50;47;45;9;1
2017-01-06;14;27;7;23;35;3;5
2017-01-13;45;2;26;44;21;1;6
2017-01-20;40;23;5;25;35;5;8
2017-01-27;15;12;29;19;48;7;9
2017-02-03;39;47;5;17;4;3;4
2017-02-10;13;23;44;31;42;2;5
2017-02-17;40;49;19;7;18;5;6
2017-02-24;13;19;7;20;1;8;6
2017-03-03;7;3;16;18;25;10;2
2017-03-10;18;20;35;13;46;7;8
2017-03-17;38;25;3;45;16;8;7
2017-03-24;25;30;44;36;26;3;9
2017-03-31;44;14;8;40;34;1;7
2017-04-07;46;45;27;43;10;8;4
2017-04-14;49;6;46;22;33;1;5
2017-04-21;49;44;27;31;46;6;8
2017-04-28;3;38;45;39;41;5;3
2017-05-05;41;11;42;23;8;8;6
2017-05-12;31;14;7;46;35;2;1
2017-05-19;41;33;22;50;46;6;2
2017-05-26;11;13;3;23;15;1;9
2017-06-02;4;17;46;2;20;1;8
2017-06-09;13;24;47;17;20;8;5
2017-06-16;31;24;38;1;25;7;1
2017-06-23;6;14;27;35;19;2;4
2017-06-30;11;31;1;3;18;6;3
2017-07-07;15;17;30;16;23;9;6
2017-07-14;49;3;9;25;31;9;8
2017-07-21;27;36;38;35;48;2;3
2017-07-28;40;45;26;14;18;1;5
2017-08-04;39;44;46;47;18;4;6
2017-08-11;40;21;13;23;14;1;3
2017-08-18;32;4;20;34;1;6;3
2017-08-25;28;20;45;41;11;9;5
2017-09-01;19;3;9;4;28;7;1
2017-09-08;40;48;42;38;11;5;4
2017-09-15;47;33;15;22;29;3;7
2017-09-22;17;47;36;32;10;5;2
2017-09-29;15;12;2;44;29;10;7
2017-10-06;28;44;40;17;5;8;1
2017-10-13;9;44;46;40;43;1;8
2017-10-20;10;25;46;1;49;6;1
2017-10-27;23;29;50;2;20;4;5
2017-11-03;35;2;45;50;44;6;7
2017-11-10;14;17;1;50;24;9;8
2017-11-17;4;3;41;47;17;5;2
2017-11-24;11;22;43;18;16;7;8
2017-12-01;5;29;20;16;30;2;7
2017-12-08;9;20;24;34;15;5;1
2017-12-15;18;12;16;7;1;4;1
2017-12-22;32;16;40;26;47;1;6
2017-12-29;16;43;40;33;30;2;4
2018-01-05;40;2;38;45;7;10;7
2018-01-12;25;17;16;40;44;9;2
2018-01-19;47;45;3;9;17;4;9
2018-01-26;23;29;10;26;35;5;3
2018-02-02;15;29;41;24;33;7;8
2018-02-09;46;8;24;34;7;8;4
2018-02-16;4;19;25;8;44;10;9
2018-02-23;26;46;18;42;33;10;4
2018-03-02;27;16;20;46;18;3;5
2018-03-09;23;28;15;33;36;7;4
2018-03-16;37;27;48;49;4;3;4
2018-03-23;4;14;42;22;33;1;10
2018-03-30;15;5;29;32;17;7;5
2018-04-06;16;8;23;50;6;4;8
2018-04-13;25;10;3;34;21;7;10
2018-04-20;46;22;25;28;24;4;2
2018-04-27;33;21;9;32;31;9;10
2018-05-04;26;49;24;29;36;3;6
2018-05-11;37;17;39;14;3;10;5
2018-05-18;23;1;11;41;44;2;8
2018-05-25;15;46;40;31;35;8;3
2018-06-01;14;21;19;30;32;7;4
2018-06-08;39;5;22;13;36;10;9
2018-06-15;21;9;5;7;1;3;10
2018-06-22;16;35;33;24;43;6;7
2018-06-29;47;18;30;9;48;4;6
2018-07-06;38;7;45;24;2;5;8
2018-07-13;13;46;34;14;21;5;2
2018-07-20;43;33;42;40;13;9;7
2018-07-27;40;50;43;2;22;8;3
2018-08-03;25;31;12;4;8;8;7
2018-08-10;4;17;21;15;23;6;7
2018-08-17;12;2;43;44;32;3;4
2018-08-24;26;25;8;48;38;6;9
2018-08-31;24;6;9;18;3;7;2
2018-09-07;28;36;4;43;7;1;6
2018-09-14;49;33;35;24;46;9;5
2018-09-21;8;16;42;46;5;2;10
2018-09-28;40;3;18;8;13;6;10
2018-10-05;32;12;44;49;15;5;7
2018-10-12;26;50;42;31;6;2;9
2018-10-19;9;48;32;12;28;7;8
2018-10-26;44;18;19;33;38;4;10
2018-11-02;5;42;33;17;27;9;10
2018-11-09;8;46;32;34;49;3;5
2018-11-16;45;13;15;18;39;5;6
2018-11-23;46;28;22;31;17;5;10
2018-11-30;18;22;35;41;36;3;4
2018-12-07;16;42;31;4;21;6;4
2018-12-14;30;24;26;4;14;10;9
2018-12-21;20;34;49;16;3;10;2
2018-12-28;38;31;24;40;19;10;7
2019-01-04;25;3;32;10;43;3;1
2019-01-11;49;35;6;39;12;9;4
2019-01-18;2;9;36;47;23;9;2
2019-01-25;24;35;28;48;25;8;4
2019-02-01;6;45;47;38;29;2;3
2019-02-08;26;21;24;5;8;5;4
2019-02-15;30;24;31;1;47;7;9
2019-02-22;26;25;14;21;16;10;8
2019-03-01;24;7;19;18;16;1;6
2019-03-08;29;45;4;30;31;7;1
2019-03-15;19;2;11;1;47;7;2
2019-03-22;24;20;49;44;15;9;7
2019-03-29;42;15;24;9;4;8;9
2019-04-05;31;22;50;43;44;9;1
2019-04-12;16;30;14;21;37;8;4
2019-04-19;43;47;18;37;21;3;1
2019-04-26;1;11;17;38;6;8;4
2019-05-03;19;3;42;10;9;1;7
2019-05-10;29;15;7;19;5;8;3
2019-05-17;27;33;20;46;35;9;5
2019-05-24;50;47;38;26;8;3;7
2019-05-31;10;35;12;36;43;5;2
2019-06-07;8;20;7;38;35;9;5
2019-06-14;42;40;41;8;23;10;2
2019-06-21;45;41;20;37;27;1;7
2019-06-28;38;18;26;25;35;6;5
2019-07-05;50;1;48;15;34;10;6
2019-07-12;36;31;40;45;42;7;9
2019-07-19;47;32;45;49;31;9;7
2019-07-26;46;8;30;3;48;1;3
2019-08-02;6;41;38;44;11;9;10
2019-08-09;4;49;20;21;2;9;10
2019-08-16;20;44;42;7;35;7;3
2019-08-23;19;18;15;41;42;6;4
2019-08-30;35;10;46;18;32;10;3
2019-09-06;29;21;24;30;50;1;5
2019-09-13;22;33;21;47;3;9;2
2019-09-20;21;48;17;49;41;8;4
2019-09-27;34;21;24;47;26;6;4
2019-10-04;15;19;20;45;49;8;7
2019-10-11;44;39;8;12;13;4;9
2019-10-18;44;9;6;43;31;6;9
2019-10-25;34;2;30;45;35;1;2
2019-11-01;17;40;31;3;34;2;1
2019-11-08;49;39;14;23;20;10;4
2019-11-15;24;30;39;10;19;4;2
2019-11-22;3;24;12;37;38;3;7
2019-11-29;31;2;30;45;3;8;6
2019-12-06;8;14;30;23;45;1;9
2019-12-13;25;31;49;38;50;5;10
2019-12-20;22;35;12;20;21;4;10
2019-12-27;28;45;7;34;12;6;3
2020-01-03;35;41;6;30;27;5;4
2020-01-10;4;25;49;34;14;9;4
2020-01-17;49;1;45;32;23;10;5
2020-01-24;5;29;48;20;12;7;9
2020-01-31;39;12;1;23;7;4;3
2020-02-07;44;7;22;16;36;3;4
2020-02-14;30;49;2;6;32;4;1
2020-02-21;47;39;45;13;2;4;6
2020-02-28;38;12;22;24;29;5;6
2020-03-06;35;36;41;19;15;5;10
2020-03-13;17;1;39;29;42;7;8
2020-03-20;30;37;28;14;9;10;3
2020-03-27;41;13;34;23;19;3;8
2020-04-03;3;41;26;40;21;8;10
2020-04-10;43;50;2;8;7;3;2
2020-04-17;33;41;1;18;23;6;2
2020-04-24;35;13;34;6;15;5;1
2020-05-01;21;11;41;6;12;2;1
2020-05-08;11;15;36;9;43;9;8
2020-05-15;34;49;29;21;27;8;10
2020-05-22;15;40;32;45;12;7;10
2020-05-29;22;31;36;8;32;6;10
2020-06-05;29;39;9;16;17;1;8
2020-06-12;7;22;30;48;16;8;2
2020-06-19;38;47;33;2;22;9;2
2020-06-26;47;34;14;32;16;7;9
2020-07-03;12;36;48;34;47;7;5
2020-07-10;5;9;6;29;15;4;9
2020-07-17;13;21;25;35;34;5;10
2020-07-24;7;11;43;19;32;2;8
2020-07-31;3;19;43;28;49;3;2
2020-08-07;28;24;15;9;4;2;6
2020-08-14;35;9;48;27;20;9;5
2020-08-21;26;27;49;30;46;2;1
2020-08-28;22;41;8;38;11;4;7
2020-09-04;5;23;49;38;28;3;9
2020-09-11;5;2;45;43;24;10;4
2020-09-18;40;7;14;12;42;7;8
2020-09-25;1;7;9;46;29;9;10
2020-10-02;39;49;15;34;19;7;2
2020-10-09;23;17;29;11;1;8;1
2020-10-16;11;35;50;44;5;4;10
2020-10-23;23;17;21;37;45;9;7
2020-10-30;39;33;19;11;24;1;4
2020-11-06;12;5;50;47;26;3;2
2020-11-13;38;37;5;17;21;4;1
2020-11-20;50;20;34;49;18;7;8
2020-11-27;25;22;2;30;1;10;5
2020-12-04;40;41;27;1;37;7;10
2020-12-11;49;13;15;4;41;9;1
2020-12-18;4;17;28;50;27;5;8
2020-12-25;7;26;42;10;19;9;1
2021-01-01;36;43;17;38;46;6;4
2021-01-08;22;25;50;8;38;9;8
2021-01-15;19;46;10;32;36;6;4
2021-01-22;40;41;38;48;46;6;2
2021-01-29;30;16;36;43;33;4;8
2021-02-05;33;46;3;16;2;10;2
2021-02-12;27;18;24;44;15;7;2
2021-02-19;35;27;36;38;41;7;5
2021-02-26;32;24;3;29;13;1;7
2021-03-05;23;40;9;42;34;1;4
2021-03-12;26;11;34;6;18;8;5
2021-03-19;19;37;3;34;11;8;9
2021-03-26;41;44;7;38;50;8;1
2021-04-02;1;43;36;3;4;2;3
2021-04-09;32;18;23;29;11;3;7
2021-04-16;31;28;12;20;19;6;9
2021-04-23;6;3;11;14;49;5;1
2021-04-30;43;27;34;40;23;5;7
2021-05-07;27;7;19;3;29;7;10
2021-05-14;42;50;29;15;1;6;3
2021-05-21;39;2;33;15;12;9;4
2021-05-28;15;37;43;35;26;8;3
2021-06-04;49;26;13;50;17;7;1
2021-06-11;23;8;20;50;48;8;9
2021-06-18;44;49;14;46;11;10;7
2021-06-25;30;4;22;47;17;1;8
2021-07-02;25;10;5;31;4;4;6
2021-07-09;31;8;14;15;20;9;8
2021-07-16;14;9;39;37;24;4;9
2021-07-23;13;48;42;33;50;3;9
2021-07-30;5;43;14;44;39;6;1
2021-08-06;21;16;29;19;36;7;1
2021-08-13;46;31;39;4;43;4;1
2021-08-20;34;8;36;31;45;10;8
2021-08-27;42;22;19;20;25;6;4
2021-09-03;5;9;20;44;48;4;10
2021-09-10;42;14;18;2;23;10;5
2021-09-17;20;27;17;14;32;7;3
2021-09-24;38;49;22;12;35;10;5
2021-10-01;33;34;37;20;39;8;4
2021-10-08;46;20;28;32;38;6;8
2021-10-15;25;8;6;21;2;6;9
2021-10-22;33;38;15;43;34;3;7
2021-10-29;44;38;11;23;37;4;8
2021-11-05;13;25;6;49;31;2;7
2021-11-12;4;44;46;30;43;3;1
2021-11-19;21;6;12;34;20;5;4
2021-11-26;17;7;37;39;21;5;3
2021-12-03;2;5;23;13;15;8;6
2021-12-10;8;34;30;48;9;8;5
2021-12-17;16;50;8;44;6;10;1
2021-12-24;42;17;21;35;3;9;8
2021-12-31;43;36;42;7;16;6;8
